TYPMAR3;REGDEP_MAR;GRAGE;NBMARIES
HF-F;1175;14_19;28
HF-F;1175;20_24;530
HF-F;1175;25_29;2163
HF-F;1175;30_34;2325
HF-F;1175;35_39;939
HF-F;1175;40_49;670
HF-F;1175;50_59;273
HF-F;1175;60_PL;141
HF-F;1177;14_19;11
HF-F;1177;20_24;388
HF-F;1177;25_29;1143
HF-F;1177;30_34;1014
HF-F;1177;35_39;609
HF-F;1177;40_49;546
HF-F;1177;50_59;214
HF-F;1177;60_PL;42
HF-F;1178;14_19;17
HF-F;1178;20_24;387
HF-F;1178;25_29;1200
HF-F;1178;30_34;984
HF-F;1178;35_39;492
HF-F;1178;40_49;484
HF-F;1178;50_59;199
HF-F;1178;60_PL;59
HF-F;1191;14_19;29
HF-F;1191;20_24;383
HF-F;1191;25_29;973
HF-F;1191;30_34;756
HF-F;1191;35_39;506
HF-F;1191;40_49;398
HF-F;1191;50_59;172
HF-F;1191;60_PL;46
HF-F;1192;14_19;16
HF-F;1192;20_24;400
HF-F;1192;25_29;1565
HF-F;1192;30_34;1333
HF-F;1192;35_39;560
HF-F;1192;40_49;485
HF-F;1192;50_59;178
HF-F;1192;60_PL;68
HF-F;1193;14_19;46
HF-F;1193;20_24;919
HF-F;1193;25_29;1485
HF-F;1193;30_34;894
HF-F;1193;35_39;463
HF-F;1193;40_49;445
HF-F;1193;50_59;182
HF-F;1193;60_PL;58
HF-F;1194;14_19;36
HF-F;1194;20_24;464
HF-F;1194;25_29;1287
HF-F;1194;30_34;855
HF-F;1194;35_39;449
HF-F;1194;40_49;412
HF-F;1194;50_59;165
HF-F;1194;60_PL;57
HF-F;1195;14_19;35
HF-F;1195;20_24;510
HF-F;1195;25_29;1170
HF-F;1195;30_34;793
HF-F;1195;35_39;485
HF-F;1195;40_49;427
HF-F;1195;50_59;164
HF-F;1195;60_PL;57
HF-F;2418;14_19;3
HF-F;2418;20_24;44
HF-F;2418;25_29;194
HF-F;2418;30_34;189
HF-F;2418;35_39;119
HF-F;2418;40_49;102
HF-F;2418;50_59;44
HF-F;2418;60_PL;9
HF-F;2428;14_19;4
HF-F;2428;20_24;99
HF-F;2428;25_29;275
HF-F;2428;30_34;272
HF-F;2428;35_39;145
HF-F;2428;40_49;138
HF-F;2428;50_59;74
HF-F;2428;60_PL;13
HF-F;2436;14_19;5
HF-F;2436;20_24;33
HF-F;2436;25_29;116
HF-F;2436;30_34;113
HF-F;2436;35_39;87
HF-F;2436;40_49;83
HF-F;2436;50_59;53
HF-F;2436;60_PL;16
HF-F;2437;14_19;8
HF-F;2437;20_24;132
HF-F;2437;25_29;392
HF-F;2437;30_34;429
HF-F;2437;35_39;259
HF-F;2437;40_49;244
HF-F;2437;50_59;102
HF-F;2437;60_PL;25
HF-F;2441;14_19;4
HF-F;2441;20_24;74
HF-F;2441;25_29;206
HF-F;2441;30_34;191
HF-F;2441;35_39;119
HF-F;2441;40_49;120
HF-F;2441;50_59;53
HF-F;2441;60_PL;20
HF-F;2445;14_19;16
HF-F;2445;20_24;201
HF-F;2445;25_29;471
HF-F;2445;30_34;438
HF-F;2445;35_39;252
HF-F;2445;40_49;209
HF-F;2445;50_59;109
HF-F;2445;60_PL;27
HF-F;2721;14_19;6
HF-F;2721;20_24;120
HF-F;2721;25_29;418
HF-F;2721;30_34;389
HF-F;2721;35_39;201
HF-F;2721;40_49;177
HF-F;2721;50_59;72
HF-F;2721;60_PL;27
HF-F;2725;14_19;10
HF-F;2725;20_24;169
HF-F;2725;25_29;417
HF-F;2725;30_34;365
HF-F;2725;35_39;224
HF-F;2725;40_49;156
HF-F;2725;50_59;65
HF-F;2725;60_PL;15
HF-F;2739;14_19;3
HF-F;2739;20_24;84
HF-F;2739;25_29;198
HF-F;2739;30_34;178
HF-F;2739;35_39;103
HF-F;2739;40_49;83
HF-F;2739;50_59;40
HF-F;2739;60_PL;12
HF-F;2758;14_19;1
HF-F;2758;20_24;34
HF-F;2758;25_29;90
HF-F;2758;30_34;107
HF-F;2758;35_39;92
HF-F;2758;40_49;80
HF-F;2758;50_59;29
HF-F;2758;60_PL;16
HF-F;2770;14_19;4
HF-F;2770;20_24;62
HF-F;2770;25_29;153
HF-F;2770;30_34;155
HF-F;2770;35_39;85
HF-F;2770;40_49;84
HF-F;2770;50_59;41
HF-F;2770;60_PL;8
HF-F;2771;14_19;4
HF-F;2771;20_24;146
HF-F;2771;25_29;379
HF-F;2771;30_34;383
HF-F;2771;35_39;215
HF-F;2771;40_49;160
HF-F;2771;50_59;84
HF-F;2771;60_PL;17
HF-F;2789;14_19;5
HF-F;2789;20_24;80
HF-F;2789;25_29;227
HF-F;2789;30_34;220
HF-F;2789;35_39;141
HF-F;2789;40_49;123
HF-F;2789;50_59;55
HF-F;2789;60_PL;28
HF-F;2790;14_19;1
HF-F;2790;20_24;66
HF-F;2790;25_29;107
HF-F;2790;30_34;84
HF-F;2790;35_39;54
HF-F;2790;40_49;41
HF-F;2790;50_59;17
HF-F;2790;60_PL;7
HF-F;2814;14_19;7
HF-F;2814;20_24;117
HF-F;2814;25_29;511
HF-F;2814;30_34;532
HF-F;2814;35_39;301
HF-F;2814;40_49;279
HF-F;2814;50_59;118
HF-F;2814;60_PL;23
HF-F;2827;14_19;4
HF-F;2827;20_24;126
HF-F;2827;25_29;447
HF-F;2827;30_34;460
HF-F;2827;35_39;280
HF-F;2827;40_49;276
HF-F;2827;50_59;132
HF-F;2827;60_PL;38
HF-F;2850;14_19;6
HF-F;2850;20_24;74
HF-F;2850;25_29;352
HF-F;2850;30_34;390
HF-F;2850;35_39;195
HF-F;2850;40_49;184
HF-F;2850;50_59;82
HF-F;2850;60_PL;19
HF-F;2861;14_19;4
HF-F;2861;20_24;41
HF-F;2861;25_29;195
HF-F;2861;30_34;198
HF-F;2861;35_39;100
HF-F;2861;40_49;89
HF-F;2861;50_59;58
HF-F;2861;60_PL;6
HF-F;2876;14_19;26
HF-F;2876;20_24;350
HF-F;2876;25_29;957
HF-F;2876;30_34;846
HF-F;2876;35_39;531
HF-F;2876;40_49;420
HF-F;2876;50_59;203
HF-F;2876;60_PL;54
HF-F;3202;14_19;7
HF-F;3202;20_24;105
HF-F;3202;25_29;426
HF-F;3202;30_34;373
HF-F;3202;35_39;203
HF-F;3202;40_49;210
HF-F;3202;50_59;96
HF-F;3202;60_PL;27
HF-F;3259;14_19;53
HF-F;3259;20_24;861
HF-F;3259;25_29;2316
HF-F;3259;30_34;1769
HF-F;3259;35_39;970
HF-F;3259;40_49;821
HF-F;3259;50_59;251
HF-F;3259;60_PL;63
HF-F;3260;14_19;15
HF-F;3260;20_24;204
HF-F;3260;25_29;636
HF-F;3260;30_34;568
HF-F;3260;35_39;317
HF-F;3260;40_49;292
HF-F;3260;50_59;127
HF-F;3260;60_PL;40
HF-F;3262;14_19;15
HF-F;3262;20_24;356
HF-F;3262;25_29;1145
HF-F;3262;30_34;1018
HF-F;3262;35_39;595
HF-F;3262;40_49;481
HF-F;3262;50_59;166
HF-F;3262;60_PL;37
HF-F;3280;14_19;8
HF-F;3280;20_24;132
HF-F;3280;25_29;390
HF-F;3280;30_34;341
HF-F;3280;35_39;204
HF-F;3280;40_49;188
HF-F;3280;50_59;98
HF-F;3280;60_PL;21
HF-F;4408;14_19;3
HF-F;4408;20_24;61
HF-F;4408;25_29;208
HF-F;4408;30_34;198
HF-F;4408;35_39;84
HF-F;4408;40_49;97
HF-F;4408;50_59;36
HF-F;4408;60_PL;9
HF-F;4410;14_19;6
HF-F;4410;20_24;62
HF-F;4410;25_29;236
